San Jose Diridon Caltrain Station,San Jose,27
San Jose Civic Center,San Jose,15
Santa Clara at Almaden,San Jose,11
Adobe on Almaden,San Jose,19
San Pedro Square,San Jose,15
Paseo de San Antonio,San Jose,15
San Salvador at 1st,San Jose,15
Japantown,San Jose,15
San Jose City Hall,San Jose,15
MLK Library,San Jose,19
SJSU 4th at San Carlos,San Jose,19
St James Park,San Jose,15
Arena Green / SAP Center,San Jose,19
SJSU - San Salvador at 9th,San Jose,15
Franklin at Maple,Redwood City,15
Redwood City Caltrain Station,Redwood City,25
San Mateo County Center,Redwood City,15
Redwood City Public Library,Redwood City,15
Stanford in Redwood City,Redwood City,15
Redwood City Medical Center,Redwood City,15
Mountain View City Hall,Mountain View,15
Mountain View Caltrain Station,Mountain View,23
San Antonio Caltrain Station,Mountain View,23
Evelyn Park and Ride,Mountain View,15
San Antonio Shopping Center,Mountain View,15
Castro Street and El Camino Real,Mountain View,11
Rengstorff Avenue / California Street,Mountain View,15
Palo Alto Caltrain Station,Palo Alto,23
University and Emerson,Palo Alto,11
California Ave Caltrain Station,Palo Alto,15
Cowper at University,Palo Alto,11
Park at Olive,Palo Alto,15
Clay at Battery,San Francisco,15
Davis at Jackson,San Francisco,15
Commercial at Montgomery,San Francisco,15
Washington at Kearney,San Francisco,15
Post at Kearney,San Francisco,19
Embarcadero at Vallejo,San Francisco,15
Spear at Folsom,San Francisco,19
Harry Bridges Plaza (Ferry Building),San Francisco,23
Embarcadero at Folsom,San Francisco,19
Powell Street BART,San Francisco,19
Embarcadero at Bryant,San Francisco,15
Temporary Transbay Terminal (Howard at Beale),San Francisco,23
Beale at Market,San Francisco,19
5th at Howard,San Francisco,15
San Francisco City Hall,San Francisco,19
Golden Gate at Polk,San Francisco,23
Embarcadero at Sansome,San Francisco,15
2nd at Townsend,San Francisco,27
2nd at Folsom,San Francisco,19
Howard at 2nd,San Francisco,19
2nd at South Park,San Francisco,15
Townsend at 7th,San Francisco,15
South Van Ness at Market,San Francisco,19
Market at 10th,San Francisco,27
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,19
San Francisco Caltrain 2 (330 Townsend),San Francisco,23
San Francisco Caltrain (Townsend at 4th),San Francisco,19
Powell at Post (Union Square),San Francisco,19
Civic Center BART (7th at Market),San Francisco,23
Grant Avenue at Columbus Avenue,San Francisco,15
Steuart at Market,San Francisco,23
Mechanics Plaza (Market at Battery),San Francisco,19
Market at 4th,San Francisco,19
Market at Sansome,San Francisco,27
Santa Clara County Civic Center,San Jose,15
Broadway St at Battery St,San Francisco,15
Mezes Park,Redwood City,15
Ryland Park,San Jose,15
